#t	Le	U	B	V	R	I	J	H	K	g	r	i	z
#----------------------------------------------- 
6.231070087889746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6.475563181468383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9.188802444136167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11.386901624007962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14.96823137687379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20.096423962353352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27.119303473390687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36.32677129128197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47.752906286478094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
61.18795527803211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76.35111074538862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93.02619768428217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
111.0888038243004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
130.48255928292744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151.19229655972535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
173.2262509251615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
196.60591988075606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
221.36054658771803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
247.52413947329316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
275.1338517743966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
304.22909451363375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
334.85105189671094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
367.04242233909093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
400.8472889761543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
436.3110662722325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
473.48049251063395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
512.4036506012718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
553.1300074243838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
595.7104654920399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
640.1974230365103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
686.6448405787343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
735.1083128613876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
785.6451451888407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
838.3144339855502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
893.1771514226772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
950.2962342038089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1009.7366774215914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1071.565632073005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1135.8525075115886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1202.6690797713513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1272.0896042682516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1344.1909357928357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1419.0526530351415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1496.7571915764624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1577.3899815523523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1661.0395963821793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1747.7979057210177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1837.760238498444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1931.0255585905218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2027.6966455771192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2127.880287944219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2231.6874887411773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2339.2336822500847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2450.6389654364575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2566.028343697883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2685.5319895551197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2809.2855198484867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2937.430289422457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3070.1137046053113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3207.4895589213693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3349.7183870643744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3496.9678438811766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3649.413106420878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3807.2373085036947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3970.632002444936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4139.797652915561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4314.9441604480835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4496.291430684711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4684.069978439803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4878.521580455559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5079.899972980121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5288.47160008455	7.94035502288173e+29	3.1700876421028377e+28	1.8696055828528864e+28	1.0218723782155949e+28	6.724820804220969e+27	3.727293367367943e+27	9.804874852527569e+26	4.8995773298148814e+26	1.8780090107137902e+26	1.1911646565887853e+28	5.919344716198367e+27	3.727293367367943e+27	2.495811182648147e+27
5504.516425695212	1.0098534338932185e+31	4.31456780737537e+29	2.5500926674829253e+29	1.3964328312400624e+29	9.199238754351344e+28	5.1047372829080454e+28	1.3452624334701318e+28	6.726617291949288e+27	2.579968572090554e+27	1.62708024656851e+29	8.099641865283116e+28	5.1047372829080454e+28	3.4203656727074837e+28
5728.328801261689	1.017340022627529e+32	4.7755098709332517e+30	2.831394077576403e+30	1.5547043821497038e+30	1.0257168569607634e+30	5.701438689869081e+29	1.5064417803123051e+29	7.539392548473342e+28	2.894383764171282e+28	1.8103695633716637e+30	9.03475607610449e+29	5.701438689869081e+29	3.82375175398813e+29
5960.218403805049	8.644502417140848e+32	4.370722904471182e+31	2.5981139527138707e+31	1.4298215425745046e+31	9.444859079292551e+30	5.257245820010147e+30	1.392065538504192e+30	6.972169326623535e+29	2.6786634490675e+29	1.664098500367453e+31	8.322017511516711e+30	5.257245820010147e+30	3.528562779996932e+30
6200.511243607163	5.954240089336916e+33	3.3025991069542526e+32	1.969825748274203e+32	1.0872363666661597e+32	7.193383448010446e+31	4.011296150004851e+31	1.0651242546259342e+31	5.339860090743583e+30	2.0535692517979058e+30	1.2645370799864118e+32	6.340947192537059e+31	4.011296150004851e+31	2.695003321734551e+31
6449.550752589369	3.555518279244461e+34	2.1324877220205346e+33	1.2757247063892823e+33	7.059572587700728e+32	4.677376042583028e+32	2.6124637200750267e+32	6.954035451283309e+31	3.4892965656325417e+31	1.3430602559221985e+31	8.205971665258239e+32	4.1246687536953616e+32	2.6124637200750267e+32	1.7567451237697665e+32
6707.698961226958	1.788571385200066e+35	1.1745621555506742e+34	7.052226190838726e+33	3.914853291048962e+33	2.5982797120844906e+33	1.4540496653046852e+33	3.88208127685901e+32	1.9499142414798066e+32	7.5133043658553965e+31	4.547325515681338e+33	2.2923138158404677e+33	1.4540496653046852e+33	9.78821354508187e+32
6975.337777263406	7.967850374933902e+35	5.667722339658125e+34	3.414446606570117e+34	1.9009635975043548e+34	1.2636699174182605e+34	7.084466519075479e+33	1.8966616996293668e+33	9.535756224935959e+32	3.677833666690876e+32	2.2066170493093235e+34	1.1153411370473986e+34	7.084466519075479e+33	4.773763219014912e+33
7252.8703646415515	3.080770381130157e+36	2.3947896899472223e+35	1.4483877765290124e+35	8.091189124282312e+34	5.3885932397532405e+34	3.0273119690157996e+34	8.130782608523154e+33	4.092409135569957e+33	1.5801757311815488e+33	9.384919961062063e+34	4.758455025738469e+34	3.0273119690157996e+34	2.04225815934543e+34
7540.722638869131	1.074451775977492e+37	9.050694004053557e+35	5.494438167921738e+35	3.079305628286003e+35	2.0543723858218044e+35	1.1564410518250832e+35	3.1154413039043874e+34	1.5697211095002487e+34	6.067535850991482e+33	3.569049402542932e+35	1.8149948410347445e+35	1.1564410518250832e+35	7.81000370957968e+34
7839.34488549572	3.33012098102297e+37	3.0594387332193646e+36	1.8652169669053047e+36	1.0491828909800776e+36	7.013645274239144e+35	3.9570017903647015e+35	1.0696913942949244e+35	5.396071043630876e+34	2.088294130899933e+34	1.2150367598717152e+36	6.199737591296408e+35	3.9570017903647015e+35	2.6756632337198805e+35
8149.213516800274	9.456076902206861e+37	9.411079572985678e+36	5.761294549170234e+36	3.252272341820307e+36	2.178307819654839e+36	1.2316553988065207e+36	3.340635995612161e+35	1.6871250578435385e+35	6.536836061479883e+34	3.7633487821537037e+36	1.9265257525751792e+36	1.2316553988065207e+36	8.338246162791834e+35
8470.832987626698	2.4316160691886507e+38	2.6342861670378044e+37	1.620121199480161e+37	9.182043333756645e+36	6.163231375744898e+36	3.493290038991178e+36	9.51012955701514e+35	4.809052107591045e+35	1.8657031370005417e+35	1.0615380103389549e+37	5.4540122719188e+36	3.493290038991178e+36	2.3680982619150525e+36
8804.737884391505	5.8023634232832786e+38	6.80478924873109e+37	4.204129298451316e+37	2.3920371490140326e+37	1.6090126954972115e+37	9.141655378714355e+36	2.4978168849422525e+36	1.2646733234251349e+36	4.91262293943696e+35	2.7629854953631893e+37	1.4246730287535408e+37	9.141655378714355e+36	6.20525676350055e+36
9151.495199437648	1.2721877287791144e+39	1.6212970423618739e+38	1.0067284426149645e+38	5.752866425160733e+37	3.8787792835556923e+37	2.2095702207283537e+37	6.061641101690383e+36	3.073321116456873e+36	1.1955028231723964e+36	6.638482091445854e+37	3.4365669287960746e+37	2.2095702207283537e+37	1.5020051176160972e+37
