#t	Le	U	B	V	R	I	J	H	K	g	r	i	z
#----------------------------------------------- 
29.631500299372075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31.521274719985957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41.70347792854644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46.62120941830897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53.36243864904895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
61.67400682426863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71.5645037933231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83.17151275816369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96.7029846567419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
112.41703132779243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
130.6128420723338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151.62281995864822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
175.8020396462142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
203.51340639388013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
235.10811851486164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
270.9033230569163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
311.1599462200199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
356.0642298284707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
405.71742940203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
460.134515986147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
519.2543146353678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
582.9532592481422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
651.0668492255425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
723.4087291485768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
799.7883830972503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
880.0227313659703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
963.9407510426308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1051.3890361847841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1142.2357531444782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1236.3700206928436	2.320322874722069e+32	4.145309483236951e+28	2.293212724523406e+28	1.18469477708612e+28	7.556818484215965e+27	4.0413620142161347e+27	1.005342894866944e+27	4.926036999984231e+26	1.8504565815845716e+26	1.398902103391118e+28	6.595558752697955e+27	4.0413620142161347e+27	2.652810754762446e+27
1333.6997242229656	1.9887945176715858e+34	4.34755751561321e+30	2.4068328545213204e+30	1.244194271022748e+30	7.939214922688969e+29	4.247639556827044e+29	1.0573560392658588e+29	5.1821124266328485e+28	1.9471235762693432e+28	1.4689416596308963e+30	6.929996060626112e+29	4.247639556827044e+29	2.7888675183998166e+29
1434.148451511416	8.200227012098974e+35	2.0709814890089388e+32	1.1471366770689493e+32	5.932947919494207e+31	3.786859394730199e+31	2.0266892056285362e+31	5.047531127357903e+30	2.4742421067565904e+30	9.298416704838918e+29	7.003865983991448e+31	3.3057284435296928e+31	2.0266892056285362e+31	1.3308977948828562e+31
1537.6544609162215	1.678656552388429e+37	5.0570902491205276e+33	2.8031616502139846e+33	1.4507053950099267e+33	9.262797194228571e+32	4.959391890261818e+32	1.235954376530886e+32	6.059906612256791e+31	2.2779085786714117e+31	1.712312605260755e+33	8.086717399570668e+32	4.959391890261818e+32	3.257511467376379e+32
1644.1791597022275	2.0570820856649043e+38	7.3165314466903e+34	4.0584639129852313e+34	2.101690854396106e+34	1.3424131505409454e+34	7.190364355426173e+33	1.7931110300584045e+33	8.793686712432566e+32	3.306320052855146e+32	2.4803280635642577e+34	1.172083251898292e+34	7.190364355426173e+33	4.723984358028189e+33
1753.931975182574	1.6582354884402007e+39	6.946573623218742e+35	3.8561188204017356e+35	1.9982337264940763e+35	1.2768066035786801e+35	6.841893876857742e+34	1.7073697443322906e+34	8.375219229392386e+33	3.149765607282674e+33	2.3578715208001584e+35	1.114914204025404e+35	6.841893876857742e+34	4.496125504991758e+34
1867.1766508813541	9.447115853131148e+39	4.6785532268489526e+36	2.599217408288961e+36	1.3478825101319625e+36	8.616009512186386e+35	4.6191260462237895e+35	1.1535358064025336e+35	5.659959783131245e+34	2.1291814820718464e+34	1.5902073235431567e+36	7.524373226520104e+35	4.6191260462237895e+35	3.0362347091991955e+35
1984.0230276753146	4.2951733092444274e+40	2.4081314799165437e+37	1.3387081651931245e+37	6.946090518701454e+36	4.441519291762583e+36	2.3820087075780957e+36	5.9520221951728704e+35	2.9210268682566197e+35	1.0990727572349631e+35	8.193807708387759e+36	3.879118836453696e+36	2.3820087075780957e+36	1.566056676584248e+36
