#t	Le	U	B	V	R	I	J	H	K	g	r	i	z
#----------------------------------------------- 
35.01488599903051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35.439236197241215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
121.57967079469908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
122.77202156578788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
124.59681312456712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
127.08636548588863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
130.28353150877305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
134.24002301282263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
139.01540970949495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
144.6759303801319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151.2928901470328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
158.940593720777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
167.69388395989253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
177.62546559362286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
188.8032808700665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201.2882383092211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
215.13255794990067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
230.37889161838444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
247.06023707813947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
265.2005352868738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
284.81575641673595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
305.9152510813954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
328.5031689658049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
352.5798262739749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
378.1429076453599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
405.1884703332961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
433.711733916756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
463.7076922663946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
495.1715217369867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
528.0988648672216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
562.4860128177555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
598.330014471293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
635.6287415033605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
674.3809019931216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
714.586027535449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
756.2444489146134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
799.357252096233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
843.9262450906144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
889.9539145094152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
937.4433814635937	1.2979783244358956e+31	1.470104075036168e+27	8.120926317656629e+26	4.1899030408364276e+26	2.6706729991622453e+26	1.4270666919822228e+26	3.5452929572389894e+25	1.73631975892771e+25	6.519259913044065e+24	4.948968006898733e+26	2.3304891140835452e+26	1.4270666919822228e+26	9.363061306030886e+25
986.3983577017841	3.0678358816034674e+32	3.7280523396956714e+28	2.0598244782294426e+28	1.0629426719509518e+28	6.775979685239936e+27	3.6211648480472944e+27	8.997867347451494e+26	4.4070386562141516e+26	1.654802325251924e+26	1.255456898459711e+28	5.913040981712268e+27	3.6211648480472944e+27	2.3760273641954205e+27
1036.8231188553034	6.389342485544137e+33	8.69203689429479e+29	4.80418863510575e+29	2.4799001602982718e+29	1.5811454096958525e+29	8.451526985780836e+28	2.1007027245417373e+28	1.0290133924321528e+28	3.864302029455546e+27	2.928836854478016e+29	1.379847809456742e+29	8.451526985780836e+28	5.5460941799431005e+28
1088.7224660851195	9.300475141399191e+34	1.4046620120665946e+31	7.7663148356276e+30	4.010131423659475e+30	2.557223831834458e+30	1.3671494444412682e+30	3.39921231136954e+29	1.665259816146678e+29	6.254331187260882e+28	4.735760971000947e+30	2.2317622452716493e+30	1.3671494444412682e+30	8.97253395311249e+29
1142.1016862491188	9.767591187302295e+35	1.655375604426797e+32	9.1559942679092e+31	4.729306761975632e+31	3.0164123716781986e+31	1.6129988156384714e+31	4.0118857316424585e+30	1.9656510200841058e+30	7.383481879908618e+29	5.584631083930009e+31	2.632646740907968e+31	1.6129988156384714e+31	1.058734529713118e+31
1196.9665161921866	7.877937823436019e+36	1.4894343464791802e+33	8.241269792293136e+32	4.25826457355186e+32	2.7164888495271512e+32	1.452934852761912e+32	3.615021732926277e+31	1.771422779836243e+31	6.654757300152554e+30	5.028007353992535e+32	2.3710035703675437e+32	1.452934852761912e+32	9.537891897837592e+31
